-1065,341,-547,4872,-172,16960,1
-1264,116,-330,5020,176,17032,2
-826,-1,-1048,4812,440,16672,3
2573,362,-3953,4456,3256,17928,4
2589,-3712,-10000,652,14764,17908,5
-2199,131,3280,-1512,8068,13856,6
-2109,1786,18115,-2000,-32768,17008,7
2943,-1237,735,9356,-9796,14024,8
-2333,2480,-627,5244,2744,17188,9
-1028,-212,-2210,4048,3364,18204,10
-924,251,-337,-10180,8372,9052,0
-928,242,-320,-10264,8272,9020,0
-930,252,-318,-10204,8248,8812,0
-917,0,-300,-10148,8168,8972,0
-914,509,-338,-10212,8300,8788,0
-921,249,-301,-10292,7960,8824,0
-935,5,-335,-10228,8320,9176,0
-936,254,-344,-10392,8376,8912,0
-921,256,-315,-10448,8296,9064,0
-951,272,-344,-10212,8300,8964,0
-1087,147,-444,7164,-1132,16356,1
-1232,-19,-1085,7340,-940,15868,2
-438,224,-1253,7132,1792,15304,3
360,1205,331,7012,1876,16384,4
2050,-3603,-11824,8928,13252,15700,5
-11133,3468,17336,3044,11732,10664,6
772,-3691,17856,5812,-15168,19620,7
2165,3953,6110,8472,-12080,12412,8
-6,583,-640,6996,-2804,17008,9
-1894,18,-310,6808,-3348,17224,10
-928,240,-325,-10224,8264,8784,0
-937,264,-331,-10152,8312,9064,0
-922,0,-298,-10444,8368,8792,0
-938,237,-309,-10296,8264,8960,0
-919,269,-306,-10228,8300,8772,0
-918,230,-343,-10112,8260,9020,0
-950,10,-316,-10248,8284,9088,0
-929,235,-324,-10224,8300,8704,0
-924,231,-334,-10208,8316,8928,0
-928,498,-283,-10280,8332,9188,0
-1028,622,-430,7984,-72,15856,1
-1646,530,-182,8252,-744,16328,2
-847,257,-993,7844,-308,15920,3
-29,245,-2624,7360,-84,16668,4
-193,-850,-4198,6464,4320,16500,5
2668,-4044,-3225,4168,13996,14384,6
-6384,2604,20077,-1012,12088,16484,7
-4571,-9705,21340,5804,-32768,32767,8
6371,2117,-1639,11068,-4408,12472,9
-2855,1129,1562,4596,-2572,19176,10
-870,456,-718,8632,1132,16596,1
-1106,106,-619,8264,1352,15324,2
-475,981,-1457,7796,1856,16356,3
3608,3295,4110,4804,14648,15464,4
-18157,1841,23167,-1436,14284,8276,5
-4884,-12098,19649,4292,-22696,11832,6
7054,5128,8133,1904,-9892,14372,7
-4697,1024,-2515,12472,-3116,16624,8
-2738,374,-1997,8224,-4324,14756,9
-539,-91,198,8392,-4864,15040,10
-706,787,-105,6672,2756,15812,1
-1115,1046,117,7668,1120,16236,2
