-1093,206,-316,13936,6432,-7140,1
-1165,351,-39,13660,6556,-7112,1
-1533,117,40,13196,6740,-6600,1
-2799,-1531,2984,19288,-1284,-5188,1
8267,-727,-10765,17252,-21412,-17264,1
9508,9230,-13284,6756,12048,-13620,1
708,4749,-2169,10924,13404,-8192,1
3479,6464,-1774,11304,13100,-6580,1
563,582,3781,13372,7468,-5148,1
-1452,330,-396,15380,7604,-4680,1
-739,147,-144,11652,7640,-8576,0
-696,-149,-553,12076,7868,-9512,0
-1146,427,-180,11968,8008,-9004,0
-1280,316,32,11752,7604,-8220,0
-840,5,-934,11664,8184,-9312,0
-1005,133,-205,12120,8064,-9500,0
-926,-73,-269,11852,7856,-9492,0
-938,268,-136,12024,7888,-8964,0
-922,590,110,11740,7332,-8916,0
-719,-9,-525,11888,8096,-9296,0
-855,281,-407,11524,7728,-9180,1
-1145,118,-424,11564,8016,-9004,1
-1299,65,-371,11624,8056,-9040,1
-1786,697,3217,11960,8484,-7120,1
-5456,-10389,2445,22836,-10276,-13412,1
15868,7685,-17868,15796,-8020,-22336,1
8060,10164,-21500,-2648,17844,-12128,1
-2545,7461,-1159,2584,13124,-5256,1
456,3342,95,9840,7972,-5844,1
124,-2668,-1168,14572,8056,-10940,1
-219,212,-273,12356,7560,-7744,0
-977,407,-293,12820,8272,-8552,0
-1284,441,-402,12380,7472,-7524,0
-847,282,-533,12148,8680,-8484,0
-1156,166,-145,12536,7068,-7944,0
-1019,574,-388,12340,8136,-7764,0
-1016,368,-188,12040,7624,-7716,0
-962,156,-403,12632,8168,-8096,0
-744,169,-510,12708,8232,-8608,0
-1018,337,-201,12500,8036,-7700,0
-1259,1285,266,11704,7228,-9300,1
-784,184,98,11460,6368,-9336,1
-911,110,-696,11544,5276,-8248,1
2503,-2964,4295,16632,-6244,-10428,1
3164,9108,-29434,15056,-3896,-25828,1
10532,23528,-7238,1344,13220,-14164,1
5248,5237,-10847,80,18944,-11456,1
-2887,3406,1243,8168,8928,-4652,1
735,-131,1316,11164,12512,-8176,1
-1179,755,-570,12948,7604,-7796,1
-1361,663,-347,12504,8816,-8200,0
-515,32,-141,11540,7920,-7112,0
-1214,86,-756,12084,9028,-8452,0
-1012,569,116,11972,8824,-8064,0
-360,63,-387,12444,8124,-8476,0
-1374,236,-463,12156,8424,-7444,0
-945,251,-330,12608,8340,-8264,0
-1629,643,329,11872,8240,-7120,0
-809,156,-280,11956,8164,-7300,0
-891,285,-242,12508,8276,-8084,0
-940,98,-337,11168,8672,-9336,1
-1395,-67,-362,11040,8296,-8520,1
-1794,-717,-909,11112,10396,-9236,1
1015,-712,6882,11596,4760,-7740,1
13344,-1789,-11063,27284,-32552,-25720,1
21326,32767,-23793,-5968,14108,-17160,1
7250,10684,-12633,-6716,25332,-3732,1
-3443,6888,4734,7932,14660,-4820,1
1200,1421,1398,12916,9196,-4632,1
338,-1081,-3681,13124,8052,-7768,1
-1279,99,-499,12616,8660,-7716,0
-663,-49,-34,12476,7512,-7296,0
-719,-98,-599,12412,8108,-7888,0
-855,-222,-635,12528,8452,-8120,0
-863,771,132,12260,8580,-7340,0
-1171,93,-729,12660,8212,-7932,0
-848,307,-174,12456,8380,-7524,0
-1262,374,-166,12368,8528,-7284,0
-1195,-288,-614,12088,7948,-7064,0
-894,-134,-579,12704,8652,-8472,0
-1188,-43,-552,12392,7928,-9108,1
-1284,-245,-427,12332,7388,-8792,1
-929,-455,-1125,14360,3588,-9360,1
161,2517,-2678,15008,1200,-11188,1
5011,7132,-7895,14476,16,-9864,1
11968,6744,-12843,9212,7300,-10416,1
10160,10841,-7727,8088,10680,-11440,1
10438,6032,-4438,9176,9528,-11736,1
4712,4193,-1317,10956,7016,-7628,1
2712,5137,-1566,10692,11148,-9228,1
-340,-276,-1514,9468,11232,-10128,0
-669,579,-307,9168,10456,-9180,0
-649,403,-411,9188,10020,-8824,0
-1063,553,-197,9208,10016,-8236,0
-744,-348,-797,9288,10088,-9984,0
-863,193,5,9536,10052,-9112,0
-687,851,62,9064,10096,-9004,0
-1085,437,-395,9132,10012,-8740,0
-1152,224,-296,9188,9516,-8836,0
-982,315,-302,9320,10256,-9196,0
-1450,209,-459,11984,7772,-7968,1
-1297,-313,-744,11732,8956,-8360,1
-1110,740,-171,12444,5056,-8584,1
6175,-1738,-3231,19872,-10540,-10484,1
18857,11161,-32768,13964,4268,-27992,1
20696,27136,-13897,-7560,18380,-11508,1
5699,4182,-7945,-7436,23136,-8040,1
-4733,1964,5408,9888,8464,-6172,1
-2142,-3545,105,12316,6156,-7092,1
-572,88,-451,13732,7188,-9192,1
-1516,446,-256,12596,8240,-8132,0
-994,340,-340,12432,8084,-7672,0
-814,61,-295,12404,8172,-8144,0
-1476,329,252,12296,8320,-7624,0
-1025,931,103,12452,8396,-7360,0
-1280,-108,-545,12268,8336,-7612,0
-1224,281,-163,12156,8600,-7296,0
-951,387,-477,12368,8452,-7228,0
-596,498,-272,12692,9128,-9004,0
-589,599,-258,12632,8768,-8124,0
-879,728,-5,10540,9320,-8580,1
-1466,54,-493,10204,10192,-8536,1
-2491,-92,556,10748,10524,-8468,1
-917,-1026,2842,10508,7636,-7960,1
5358,-5153,-5432,13116,-2240,-12664,1
16713,9590,-13958,22344,-17948,-32768,1
11749,16977,-15848,-1652,23868,-31232,1
8161,15283,-8743,-3040,14672,-10500,1
-502,3712,-3184,1656,15192,-4152,1
427,1017,2920,7884,6840,-3748,1
-731,99,-358,11276,8220,-9772,0
-896,419,-426,11120,8472,-9824,0
-642,184,-513,11304,8436,-10064,0
-828,67,-213,11340,8256,-10004,0
-1108,342,-272,10940,8164,-9340,0
-778,85,-448,11496,8416,-10340,0
-100,73,-24,11108,7368,-9868,0
-848,280,-473,11160,8448,-10124,0
-891,495,-229,11256,7764,-9348,0
-1288,167,-412,10904,8436,-8684,0
-1052,-115,-779,9244,9580,-8952,1
-1244,-485,-995,11248,7444,-8840,1
1035,-311,344,11912,7792,-12224,1
1241,3936,-4987,11460,5436,-9308,1
2037,3197,-6047,6092,11544,-11928,1
-730,2597,-4261,9672,11168,-11916,1
2408,8388,-738,11516,7916,-10984,1
7895,9464,-4059,11824,6508,-14360,1
5737,10128,-6794,8236,11096,-7104,1
4012,4739,-5936,4064,15500,-8600,1
-1023,120,-272,11408,7064,-10036,0
-1005,-72,-507,11324,7480,-10692,0
-838,170,-242,11196,7124,-10072,0
-813,353,-251,11252,7356,-10012,0
-813,370,-263,11308,7352,-10536,0
-992,203,-316,11280,7416,-10164,0
-684,71,-332,11268,7168,-10620,0
-904,354,-197,11596,6984,-10320,0
-1057,291,-622,11252,7160,-10148,0
-886,386,-174,11104,7236,-10112,0
-1705,190,-624,12612,4868,-9588,1
-1823,455,385,13012,4152,-9488,1
75,-2865,2308,16148,-7068,-9788,1
4828,3333,-14516,19280,-19632,-15868,1
12053,13247,-22895,-980,14788,-17676,1
4238,8107,-5074,-1904,19132,-9028,1
-1851,2881,-82,6396,14412,-10272,1
-775,-1471,1334,11676,6452,-9580,1
